Tiêu đề,Địa chỉ,Miêu tả,Ngày đăng,Ngày hết hạn,Giá,Diện tích,Hướng nhà,Hướng ban công,Số phòng,Vệ sinh,Mặt tiền,Chiều rộng mặt tiền,Số tầng,Tình trạng  pháp lý,Nội Thất Cao Cấp,Loại danh sách,ID danh sách
"NGUYEN CHI THANH -PHÂN LÔ - NGÕ THÔNG - Ô TÔ TRÁNH - VỈA HÈ - KINH DOANH - HIẾM NHÀ BÁN,","Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội","Vị trí đẹp, ngõ thông ô tô tránh vỉa hè, kinh doanh, khu phân lô hiếm nhà bán, + Nhà 4 tầng còn đẹp ở được luôn hoặc thêm nước sơn thì long lanh, -T1 : kinh doanh - khách - bếp - wc, -T2 : ngủ rộng wc khép kín + phòng để đồ, - T3 : 2 ngủ wc giữa, - T4 : phòng thờ + sân phơi siêu rộng, , sổ đỏ vuông đẹp sẵn sàng giao dịch, Lh Ms Nga  0326 450 ***",10/11/2024,20/11/2024,"13,5 tỷ",40 m²,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,N/A,38 m,538 m,4 phòng,N/A,N/A,Tin thường,41486399
Nhà trong ngõ 91 thông thoáng ô tô đỗ cửa,"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội","Khu phân lô - ngõ thông - ô tô tránh - vỉa hè - kinh doanh - hiếm. + Vị trí đẹp, ngõ thông ô tô tránh vỉa hè, kinh doanh, khu phân lô hiếm nhà bán, + Nhà 4 tầng còn đẹp ở được luôn hoặc thêm nước sơn thì long lanh. T1: Kinh doanh - khách - bếp - wc. - T2: Ngủ rộng wc khép kín + phòng để đồ, - T3: 2 ngủ wc giữa, - T4: Phòng thờ + sân phơi siêu rộng, sổ đỏ vuông đẹp.",08/11/2024,18/11/2024,"13,5 tỷ",36 m²,4 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,"3,6 m",3 m,N/A,N/A,N/A,Tin thường,41466493
"Nhanh gấp, bán nhà Vũ Thạnh, Đống Đa, 45m2, 2 ô tô tránh, 13.5 tỷ","Đường Vũ Thạnh, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","Bán nhà khu phố Vũ Thạnh, Hào Nam, Đống Đa, thông Cát Linh, trung tâm của trung tâm  đường 2 ô tô tránh, dừng đỗ thoải mái.  DT sổ 45m, từ tầng 2 - 5 xây dựng 48m. Nhà 5 tầng khung cột bê tông kiên cố. MT 4.5m. H: Đông tứ trạch.  Xây dựng chắc chắn, khung cột bê tông, cầu thang giữa, tầng 2 phòng.  Liên hệ:  0976 949 ***",10/11/2024,20/11/2024,"13,5 tỷ",45 m²,Cơ bản,N/A,N/A,N/A,6 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,Tin thường,41484098
"Bán nhà phố Khâm Thiên DT 55 m2 x MT 5,5 m","Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội","+ Bán nhà sát mặt phố Khâm Thiên, Đống Đa, HN. Mặt tiền rộng, kd cho thuê. Ô tô dừng đỗ cổng, vị trí đẹp, sau 1 nhà ra phố, khu vực kd sầm uất, tiện ích bạt ngàn. Căn nhà tọa lạc tại vị trí thuộc đoạn gần ngã 6 Ô chợ Dừa. Sau quy hoạch ngã 6 Ô chợ Dừa, nhà ra mặt phố, tương lai sáng ngời! Gần nhiều trường, chợ, gần các trường ĐH lớn & các bệnh viện, tiện ích bạt ngàn. Chủ bán căn nhà trong nuối tiếc vì có kế hoạch định cư bên nước ngoài. Nhà được thiết kế: Nhà xây kiểu dáng biệt thự với nội thất xa hoa, lộng lẫy, chủ tặng lại nội thất xịn. Căn nhà được thiết kế đẹp, tỷ mỉ & hợp lý. Căn nhà có thể lắp thêm được thang máy. + DT: 55 m² x 5 tầng x MT 5,5 m x 4 pn. + Tầng 1: Có cổng, lối đi riêng & sân nhỏ trước nhà. + Giá: 13,5 tỷ có TL. + Sổ đỏ: Nét, chính chủ, nở hậu, sẵn sàng giao dịch. + LH  0913 546 ***  Mr Nghiệp tư vấn & xem nhà miễn phí. * BĐS tổ ấm - uy tín & tận tâm *.",05/11/2024,15/11/2024,"13,5 tỷ",55 m²,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"5,5 m",10 m,4 phòng,N/A,N/A,Tin thường,40960456
"Nhà đẹp láng Hạ kinh doanh đỉnh mặt tiền 6,4m DT=60m2 NT full đồ ra phố chỉ 50m sổ đẹp","Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội","Mặt ngõ kinh doanh đỉnh ngõ hiếm nhà 50m ra phố Láng Hạ. - DT 60m² x mặt tiền 6,4m. Thiết kế nhà 4 tầng hiện đại. Thiết kế: + Tầng 1: Sân - phòng khách - VS - bàn học. + Tầng 2: 3 ngủ - VS giữa. + Tầng 3: 2 ngủ - sân phơi 1. + Tầng 4: Phòng khách rộng - Bếp - VS - sân phơi. Sổ đỏ đẹp chính chủ sẵn sàng giao dịch. LH: MR Lưu để đi xem nhà trực tiếp  0915 295 ***",09/11/2024,19/11/2024,"13,5 tỷ",60 m²,Tây - Bắc,Đông - Nam,5 phòng,4 phòng,"6,4 m",35 m,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tin thường,41367542
"Bán gấp! Phố Thái Hà, ô tô tránh, mặt tiền lớn, ngõ thông, KD, VP, DT 80m2*MT 5m, nhỉnh 13 tỷ","Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội","Phố Thái Hà - ô tô tránh - mặt tiền lớn - ngõ thông - văn phòng - kinh doanh siêu đỉnh. - Chính chủ bán chia tài sản cho con cháu, căn nhà phố Thái Hà, phường Láng Hạ, quận Đống Đa. Diện tích 80m² mặt tiền 5m, giá chỉ 13.5 tỷ (có thương lượng). - Vị trí trung tâm phố Thái Hà, tuyến phố giao thông thuận tiện thông tứ ngả ra tuyến đường lớn như Hoàng Cầu, Yên Lãng, Nguyễn Chí Thanh, Huỳnh Thúc Kháng,... Xung quanh kinh doanh sầm uất, nhiều văn phòng lớn. - Nhà xây 3 tầng cũ nên xác định bán đất, chủ mới mua về xây toà nhà kinh doanh kết hợp ở, văn phòng cực kỳ hợp lý. - Sổ đỏ chính chủ giao dịch ngay. - Liên hệ Ms Hà  0916 656 ***  tư vấn xem nhà thực tế.",09/11/2024,19/11/2024,"13,5 tỷ",80 m²,Đã có sổ,N/A,N/A,N/A,5 m,3 tầng,N/A,N/A,N/A,Tin thường,38133537
"Bán nhà 48m2 x 5 tầng đường Láng, ô tô đỗ cửa, gần phố, về ở ngay","Ngõ 1194, Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội","+ Nhà bán nằm ngõ 1194 ô tô tránh, kinh doanh tấp nập, trước nhà ô tô đỗ cửa ngày đêm, tiện ích không thiếu gì. + Nhà 5 tầng đẹp chủ mới về sẵn ở, nội thất ốp gỗ toàn bộ. + Diện tích thực tế 48m², gần phố, ngõ thông. Thiết kế: 6 ngủ, đầy đủ công năng. - Tầng 1: Phòng khách hoặc gara, bếp. - Tầng 2 hai phòng ngủ, vệ sinh; - Tầng 3 - 4 mỗi tầng 2 phòng; - Tầng 5 sân phơi. + Sổ vuông đẹp. Chính chủ chào bán 13.5 tỷ, có thương lượng. + Anh Chị quan tâm vui lòng liên hệ  0914 821 ***  để xem và mua nhà với giá tốt nhất.",09/11/2024,19/11/2024,"13,5 tỷ",48 m²,6 phòng,5 phòng,Đầy đủ,N/A,"3,6 m",5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41356479
"Ảo thật đấy! Lô góc Hồ Ba Mẫu, vỉa hè, 3 ô tô tránh, gần hồ, ở sướng, 63m2*6T, chỉ nhỉnh 13 tỷ","Đường Hồ Ba Mẫu, Phường Phương Liên, Đống Đa, Hà Nội","Cực hiếm - phân lô - ô tô tránh - vỉa hè - lô góc - vài bước ra hồ - ở sướng - kinh doanh đa dạng. - Chính chủ gửi bán căn phân lô, lô góc 3 thoáng cực đẹp, ngõ 81 Hồ Ba Mẫu, phường Phương Liên, Đống Đa. Diện tích lên đến 63m²*6T, chỉ nhỉnh 13 tỷ (có thương lượng). - Vị trí trung tâm rất hiếm nhà bán, nhà lô góc 2 mặt tiền, ô tô đỗ dừng ngày đêm, vài bước chân ra hồ Ba Mẫu. Giao thông thuận tiện ra trục đường lớn như: Lê Duẩn, Xã Đàn, Phạm Ngọc Thạch, Kim Hoa, Khâm Thiên... - Nhà thiết kế bê tông cực kì chắc chắn, chủ mới tuỳ ý sửa theo nhu cầu thực tế. - Sổ đỏ phân lô vuông vắn, sẵn sàng giao dịch. - Liên hệ Ms Hà  0916 656 ***  tư vấn đi xem nhà thực tế.",09/11/2024,19/11/2024,"13,5 tỷ",63 m²,N/A,N/A,N/A,N/A,6 tầng,Đã có sổ,N/A,N/A,N/A,Tin thường,37799943
Bán Nhà Nguyễn Khuyến Ngô Sỹ Liêm 66m MT 5m 13.5 tỷ,"Đường Nguyễn Khuyến, Phường Cát Linh, Đống Đa, Hà Nội","Cần Bán gấp nhà mặt ngõ oto Phố Nguyễn Khuyến, Ngô Sỹ Liêm Q Đống Đa vị trí  kinh doang tấp nập ngày đêm sổ đỏ pháp lý đầy đủ quy hoạch ổn định cần bán gấp nhà xe 7 chổ vào thoải mái, cách oto tránh 30m nhà xây 4,5 tầng DT sổ đỏ: 66m MT 5m giá bán 13,5 tỷ ( có thương lượng Liên hệ :  0989 942 ***",08/11/2024,23/11/2024,"13,5 tỷ",66 m²,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,5 m,5 m,5 phòng,N/A,N/A,Tin thường,41470503
"Bán nhà ngõ 91 Nguyễn Chí Thanh Đống Đa, vị trí siêu đẹp, phân lô ô tô, vỉa hè, kinh doanh, 13.5 tỷ","Ngõ 91, Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội","- Ngõ 91 Nguyễn Chí Thanh là tuyến ngõ đẹp nhất, hạ tầng tốt, thông với Huỳnh Thúc Kháng, Nguyên Hồng... - Vị trí nhà phân lô ô tô, vỉa hè chạy dọc 2 bên đẹp vô cùng. - Nhà xây dựng 4 tầng, khung cột chắc chắn vô cùng. - Giá: 13.5 tỷ (thương lượng tốt). - LH:  0326 926 *** miễn phí).",05/11/2024,15/11/2024,"13,5 tỷ",39 m²,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,4 tầng,4 phòng,N/A,N/A,N/A,Tin thường,41435058
"Hiếm! Nhà riêng đường Trần Hữu Tước, cách ô tô 20m, gần Hồ Đắc Di, 13.5 tỷ","Đường Trần Hữu Tước, Phường Nam Đồng, Đống Đa, Hà Nội","Bán gấp nhà riêng tại đường Trần Hữu Tước, Phường Nam Đồng, Đống Đa. Mô tả: - Nhà có thiết kế hiện đại với 5 tầng, thang máy xịn, rất phù hợp cho gia đình lớn hoặc cho thuê. - Nhà lô góc với 4 phòng ngủ và 6 toilet, không gian sống thoải mái và tiện nghi. - Vị trí đắc địa, dễ dàng di chuyển đến các khu vực lân cận. - Pháp lý rõ ràng giúp khách hàng yên tâm khi giao dịch. Liên hệ: Em Dũng  0982 488 *** call/Zalo), nói không với tin ảo. Miễn phí xem nhà - Nguồn hàng phong phú - Nhiệt tình tận tâm - Hỗ trợ 24/24h.",04/11/2024,14/11/2024,"13,5 tỷ",46 m²,4 phòng,6 phòng,Cơ bản,N/A,"4,8 m",5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41177184
"Chính chủ cần bán mảnh đất lô góc đẹp phố Tôn Đức Thắng, Đống Đa gần hồ Văn Chương, ô tô đỗ cửa","Phố Tôn Đức Thắng, Phường Thổ Quan, Đống Đa, Hà Nội","Chính chủ cần bán mảnh đất lô góc vị trí cực đẹp, ô tô đỗ cửa phố Tôn Đức Thắng, Khâm Thiên, Thổ Quan, Đống Đa, gần hồ Văn Chương. Mảnh đất vuông vắn, diện tích 58,6m² mặt tiền 5,2m phù hợp xây ở, xây toà căn hộ hoặc văn phòng. Sổ đỏ chính chủ. Giá bán: 13,5 tỷ (có thương lượng). Liên hệ: A Thanh  0906 599 ***",04/11/2024,14/11/2024,"13,5 tỷ","58,6 m²",N/A,N/A,N/A,N/A,"5,2 m",Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,Tin thường,41316162
Trung tâm ô chợ Dừa Khâm Thiên - Đống Đa - ở hoặc kinh doanh CCMN dòng tiền 40trd/tháng - lô góc,"Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội","Trung tâm ô Chợ Dừa Kiến Thiết - Khâm Thiên - Đống Đa - ở hoặc kinh doanh ccmn dòng tiền 40trd/tháng - lô góc - pccc đạt chuẩn - có thang thoát hiểm ngoài trời - full tiện ích - gần mặt phố - 9 phòng khép kín. Mô Tả: - Nhà chủ xây kiên cố, khung cột bê tông, lô góc siêu thoáng, dòng tiền 40trd/tháng. Chủ bán hiện trạng, Phù hợp đầu tư giữ tiền, vừa ở vừa cho thuê. Thiết kế: + Tầng 1: Sân + phòng khách + Vs. + Tầng 2 + 3 + 4 + 5: 2 ngủ + 2 vệ sinh khép kín. Sổ đỏ vuông vắn sẵn sàng giao dịch.",07/11/2024,17/11/2024,"13,5 tỷ",91 m²,9 phòng,5 phòng,Đầy đủ,N/A,"6,9 m",5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41454465
Tết 2025 về ở luôn - 6 tầng thang máy - ô tô tránh đỗ cửa - 7 phòng - chủ tự xây gara ôtô,"Đường Nguyễn Khang, Phường Trung Hòa, Cầu Giấy, Hà Nội","+ 46 m², 6 tầng kiên cố, mặt tiền siêu rộng, gara ôtô trong nhà. + Vị trí khu phân lô Nguyễn Khang đang kết nối đường lớn thông với Phố Thành Thái, tương lai phố lớn Nguyễn Văn Huyên kéo dài nối Dương Đình Nghệ ra Đại Lộ Thăng Long... + Gia chủ tự xây dựng kiên cố chắc chắn tâm huyết để ở lâu dài nhưng nhiều nhà ko dùng đến bán. + Chủ định cư nước ngoài nên cần bán trước tết 2025.",02/11/2024,12/11/2024,"13,5 tỷ",46 m²,7 phòng,6 phòng,N/A,N/A,5 m,6 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41401177
An sinh đẳng cấp - ô tô vào nhà - ô chờ thang máy - kinh doanh - ngõ thông - sổ vuông - hoa hậu,"Phường Trung Hòa, Cầu Giấy, Hà Nội","Trung Hòa - Cầu Giấy 54/59m² 5 tầng 4.5m mặt tiền 13.5 tỷ. Phân lô - ô tô vào nhà - ô chờ thang máy - kinh doanh nhỏ - ngõ thông - sổ vuông hoa hậu. + Vị trí đắc địa, gần trung tâm Hội Nghị Quốc Gia, Khách sạn JV Mariot, cách BigC Thăng Long, ngập tràn tiện ích xung quanh. + Thiết kế tầng lệch, ô chờ thang máy, tặng full nội thất xịn sò. - Tầng 1: Gara ô tô, bếp, wc. - Tầng 2: Phòng khách, phòng thờ, wc. - Tầng 3.4: Mỗi tầng 2 phòng, wc. - Tầng 5: Sân thượng trồng hoa, sân phơi. Sổ đỏ chính chủ cất két, chủ thiện chí bán, sẵn sàng giao dịch.",07/11/2024,18/11/2024,"13,5 tỷ",59 m²,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng.,N/A,"4,5 m",5 m,4 phòng,N/A,N/A,Tin thường,40789639
"Siêu hot. Phân lô Mai Dịch, Cầu Giấy sát mặt phố siêu đẹp siêu thoáng","Phường Mai Dịch, Cầu Giấy, Hà Nội","Nhà ngay vị trí đẹp, ngõ rộng rãi 2 ô tô 7 chỗ tránh nhau. Mặt tiền rộng 3,15m. Nhà còn mới đẹp, 2 mặt trước sau vô cùng thoáng đãng. Chủ nhà thân thiện, thiện chí bán còn để lại đầy đủ nội thất xịn xò. Thiết kế tầng 2 phòng ngủ nên có 4 ngủ rộng đẹp, tiện lợi.",06/11/2024,16/11/2024,"13,5 tỷ",48 m²,4 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,"3,15 m",3 tầng,Đầy đủ nội thất xịn xò.,N/A,N/A,Tin thường,41445693
"Bán nhà phố Nguyễn Thị Định, Trung Hòa, Trần Duy Hưng, 40m2, 5 tầng, DT cho thuê 35tr/ tháng","Đường Nguyễn Thị Định, Phường Trung Hòa, Cầu Giấy, Hà Nội","Bán nhà phố khu vực Trần Duy Hưng, Nguyễn Thị Định, Trung Hòa. Dân trí cao, tiện ích sầm uất, ô to dừng đỗ ngày đêm. Vỉa hè đẹp, thông thoáng, sổ đỏ đẹp sang tên ngay. Diện tích 40m² x 5T, giá bán 13.5 tỷ. Chủ cần bán nhanh, đang cho thuê nhà hàng 35tr/ tháng. Xem nhà liên hệ trực tiếp, khu phố hiếm nhà bán, lãi vốn và dòng tiền đều tốt. Sở hữu ngay nhận liền tay cơ hội tăng giá trong thời gian tới.",10/11/2024,20/11/2024,"13,5 tỷ",40 m²,5 phòng,5 phòng,Đầy đủ,N/A,15 m,5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,38302844
Nhà vip Trần Duy Hưng. Diện tích 60m2. Mặt tiền 6m. Giá 13.5 tỷ có thương lượng,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội","Ô tô vào nhà - kinh doanh - lô góc - ô chờ thang máy - cực kỳ thoáng sáng - khu vip nhất của quận - khu vực đông khách thuê. Vị trí: Trung tâm Cầu Giấy khu vip, xung quanh hàng xóm toàn tòa 9 tầng to vật vã, kinh doanh sầm uất. Thiết kế: + T1: Khách, để xe, vs. + T2,3,4: Mỗi tầng 02 phòng, khép kín, vs từng phòng. + T5: 02 phòng, sân phơi. Tổng 14 phòng, chủ cho bên thứ 3 thuê lại với giá 40tr/tháng trong 10 năm nay, nhà lúc nào cũng đông khách. Pháp lý sạch, sổ đỏ đẹp.",08/11/2024,23/11/2024,"13,5 tỷ",60 m²,16 phòng,10 phòng,Đầy đủ,N/A,6 m,5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41473091
Chiến sĩ thi đua về hưu cần tiền bán nhanh căn nhà phố Trần Quốc Hoàn DT 40m2 x 4T MT 4m,"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội","Nhà Phố Trần Quốc Hoàn - phân lô 3 mặt ngõ - ô tô tránh - kinh doanh - cực gần phố - tiện ích bạt ngàn. DT 40m2x4 tầng. MT 4m. Giá từ 13 tỷ. - Vị trí trung tâm nhà đẹp, kinh doanh sầm uất 2 mặt ngõ ô tô tránh, ngay sau ĐH Sư Phạm Hà Nội, nơi tập chung rất nhiều sinh viên, kinh doanh tốt, ô tô 7 chỗ vào nhà. - Nhà vị trí cực đẹp ba mặt ngõ cực hiếm. * Thiết kế: + T1: Gara, 2 mặt ngõ ô tô vào nhà. Wc. + T2: Phòng khách, phòng ăn, wc giữa. + T3,4: Tầng 2 phòng, wc giữa. + T5: Phòng thờ sân phơi. LH:  0944 480 ***  - Kiên Anh.",10/11/2024,20/11/2024,"13,5 tỷ",40 m²,4 phòng,4 phòng,N/A,N/A,4 m,4 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41483697
"Kinh doanh cực đỉnh, ngõ 95 Chùa Bộc, Đống Đa, gần Tr.Đại Học lớn, 40m2 5 tầng CT thang máy, 13.6tỷ","Ngõ 95, Phố Chùa Bộc, Phường Quang Trung, Đống Đa, Hà Nội","Trung tâm Đống Đa - cổng Hv Ngân Hàng kinh doanh tốt - hai thoáng tiếp giáp với các tuyến phố chính Tôn Thất Tùng, Phạm Ngọc Thạch, Xã Đàn, Thái Hà, Thái Thịnh, Tây Sơn, Trường Chinh, Nguyễn. - Vị trí đắc địa, khu vựa hiếm nhà bán, phân lô ô tô chạy vòng quanh, hiện đang cho thuê 17tr/tháng. - Nhà xây KCBT chắc chắn, khách về sửa qua là long lanh. - 5 tầng, mỗi tầng 2 phòng ngủ khép kín. Hiện đang cho thuê T1 bán hàng, các phòng trên cho thuê ở. - Sổ vuông vắn chủ đang gửi bank. - Nhà mặt thoáng view nhìn ra sân bóng thoáng vĩnh viễn. Thiết kế cầu thang vệ sinh giữa giếng trời rộng cải tạo được thang máy. + Sổ đỏ nở hậu, sẵn sàng giao dịch. LH: Em Sơn  0989 693 ***  để được tư vấn xem nhà miễn phí. Cảm ơn anh chị đã xem và đọc tin.",08/11/2024,18/11/2024,"13,6 tỷ",40 m²,5 phòng,N/A,N/A,N/A,5 m,5 tầng,N/A,N/A,N/A,Tin thường,41470133
Bán rất gấp siêu phẩm sau nhà mặt hồ Tôn Đức Thắng Đống Đa 55m 6 tầng thang máy view hồ giá 13.7 tỷ,"Phố Tôn Đức Thắng, Phường Văn Chương, Đống Đa, Hà Nội","Bán gấp sau nhà mặt hồ phố Tôn Đức Thắng Đống Đa giáp Ba Đình Hoàn Kiếm - 1 nhà ra hồ - ôtô tránh sát nhà - 6 tầng thang máy - nhà dân xây - đẹp ở sướng. Diện tích 55m 6 tầng mt 6.5m hơn 13 tỷ TL mạnh. Vị trí quá đẹp, nằm sát mặt hồ từ nhà ra hồ đúng 1 nhà. Ngõ thông oto vào bước, nhà cách phố chưa đầy 50m. Thông Tôn Đức Thắng, Văn Miếu, Quốc Tử Giám, Khâm Thiên Đống Đa. Tiện ích bạt ngàn. Tầng 1: Khu để xe, khách, bếp, WC. Tầng 2: 1 ngủ khép kín. Tầng 3, 4: Mỗi tầng 1 ngủ, WC. Tầng 5: 2 ngủ, WC. Tầng 6: Thờ, sân phơi. Sổ đỏ chính chủ, sẵn sàng bàn giao. LH Em Hương  0972 472 ***  xem nhà trực tiếp gặp chính chủ giao dịch. Miễn tg.",09/11/2024,19/11/2024,"13,75 tỷ",55 m²,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng,N/A,"6,5 m",3 m,4 phòng,N/A,N/A,Tin thường,40925641
"Nhà 3T cũ cách Vành đai 2 - Đường Láng có 1m ngõ 3m DT 83,5m MT 6m hai thoáng sát phố sát oto","Đường Láng, Phường Thịnh Quang, Đống Đa, Hà Nội","- Bán nhà 3 tầng cũ vị trí đẹp trong ngõ Đường Láng, vành đai 2 đang thi công mở rộng 53m, sau khi mở đường thì từ nhà cách 1m ra mặt đường vành đai 2. + Vị trí đẹp ngõ nông rộng gần 3m sáng thoáng sạch văn minh. Phù hợp ai mua đập đi xây toà chung cư mini cho thuê dòng tiền rất tốt vì khu đường láng nhu cầu thuê ở rất lớn. + Quy hoạch ổn định, pháp lý sạch một chủ ở từ đầu. - DT sổ đỏ 83,5m, MT 6m nở hậu, hai mặt thoáng vĩnh viễn. - Vị trí trung tâm đắc địa, rất thuận tiện đi lại. - Khu dân trí cao, an ninh rất tốt, khu đáng sống nhất, lõi quận Đống Đa. - Nay gia chủ có việc cuối năm bán giá 13,7 tỷ có thương lượng, SĐCC. - LH: E. Tùng  0986 931 *** để được xem nhà và được hỗ trợ tư vấn mua bán BĐS tốt nhất).",03/11/2024,03/12/2024,"13,77 tỷ","83,5 m²",3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,6 m,3 m,4 phòng,N/A,N/A,Tin thường,41411336
"Hiếm. Phân lô bàn cờ, nhà 2 mặt ngõ oto, kinh doanh, oto đỗ ngày đêm, nhỉnh 10 tỷ","Phố Thái Hà, Phường Ngã Tư Sở, Đống Đa, Hà Nội","Giá 13,79 tỷ VND cho căn nhà tại Phố Thái Hà, Phường Ngã Tư Sở, Đống Đa, Hà Nội với diện tích 38 m² và pháp lý rõ ràng. - Nhà 2 mặt ngõ oto kinh doanh, phân lô bàn cờ, đi lại thuận tiện. - Căn nhà có 4 tầng, rất phù hợp cho gia đình đông người hoặc có nhu cầu cho thuê. - Chiều rộng ngõ trước nhà 5 m, thuận tiện cho việc di chuyển và đỗ xe. - Diện tích 38 m², vừa đủ cho một không gian sống thoải mái. - Có 4 phòng ngủ và 4 toilet, đáp ứng nhu cầu sinh hoạt cho cả gia đình. Sổ chính chủ, sang tên nhanh chóng.",03/11/2024,11/11/2024,"13,79 tỷ",38 m²,4 phòng,4 phòng,Đầy đủ,N/A,5 m,4 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41199431
Cực hót! Nhà đẹp long lanh 55m MT5 xây 8T thang máy NT xịn sò sổ vuông như tờ A4 phố Trần Hữu Tước,"Đường Hồ Đắc Di, Phường Nam Đồng, Đống Đa, Hà Nội","Cực hót - siêu phẩm 8 tầng thang máy - ngay Hồ Đắc Di.Trần Hữu Tước Chính chủ gửi bán căn nhà xây mới vị trí tuyệt đẹp phố Trần Hữu Tước thông sang Nguyễn Lương Bằng. Diện tích 55m² xây mới 8 tầng thang máy,  - Nhà xây mới tinh thiết kế hiện đại thời thượng: + Tầng 1 thông sàn rộng, cầu thang cuối, bếp ăn và vệ sinh phụ. + Tầng 2 là tầng lửng làm phòng khách. + Tầng 3,4,5,6,7 mỗi tầng một phòng rộng + vệ sinh. + Tầng 8 là tum để máy giặt và sân phơi. Nội thất cơ bản toàn đồ xịn sò được chủ nhà tâm huyết lựa chọn. - Sổ đỏ pháp lý nét căng sẵn sàng giao dịch. - Hỗ trợ vay bank tối đa. - LH: MR Lưu để đi xem nhà 24/24 zalo  0915 295 ***",04/11/2024,14/11/2024,"13,8 tỷ",55 m²,Đông,8 tầng,7 phòng,Sổ đỏ/ Sổ hồng,5 m,3 m,5 phòng,Đầy đủ,N/A,Tin thường,41417673
"Bán đất tặng nhà, PHỐ Hào Nam, mặt ngõ rộng, giao thông thuận tiên, tiện ích bạt ngàn","Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","Bán đất tặng nhà, Hào Nam, DT 120m², 2 tầng mặt tiền 5 m giá nhỉnh 10 tỷ. Nhà 2 từng cũ dân sây đang ở. Nằm ngay mặt ngõ hào nam. Gần chợ., kinh doanh sầm. Uất, giao thông thuận tiện, dân trí, cao nhà thuôc loại hàng Hiếm. Sổ đỏ chính chủ: Nở hậu, giao dịch ngay. Liên hệ:  0987 474 ***",08/11/2024,23/11/2024,"13,8 tỷ",120 m²,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,5 m,2 tầng,N/A,N/A,N/A,Tin thường,41468080
"Cực hiếm 13.8 tỷ, Trần Hữu Tước, Hồ Đắc Di, đi bộ ra hồ, 3 thoáng, thang máy","Đường Trần Hữu Tước, Phường Nam Đồng, Đống Đa, Hà Nội","Vị trí: Mặt ngõ Trần Hữu Tước. Vài bước ra phố. 1 phút đi bộ tới hồ. Ngõ thoáng rộng. Để xe quay xe thoải mái. 13.8 tỷ. Dt: 46m. Mt: 5m. - Nhà mới 8 tầng thang máy sẵn. Thiết kế hiện đại, nội thất xịn mịn. Ở ngay. - Sổ đỏ nét căng, sẵn sàng giao dịch. Cam kết thông tin chuẩn. Ảnh thật 100%. Hỗ trợ check quy hoạch miễn phí.",04/11/2024,14/11/2024,"13,8 tỷ",46 m²,8 tầng,6 phòng,N/A,N/A,5 m,2 m,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41420714
